,domain_20
s_016um_00176_00132-1,6
s_016um_00261_00279-1,11
s_016um_00061_00416-1,16
s_016um_00367_00343-1,8
s_016um_00265_00282-1,18
s_016um_00105_00056-1,9
s_016um_00121_00137-1,17
s_016um_00285_00044-1,8
s_016um_00306_00214-1,18
s_016um_00024_00094-1,6
s_016um_00032_00057-1,9
s_016um_00083_00065-1,7
s_016um_00065_00141-1,6
s_016um_00158_00370-1,1
s_016um_00149_00008-1,12
s_016um_00208_00309-1,1
s_016um_00046_00313-1,8
s_016um_00042_00286-1,8
s_016um_00259_00158-1,4
s_016um_00177_00014-1,10
s_016um_00049_00080-1,8
s_016um_00126_00181-1,9
s_016um_00223_00125-1,13
s_016um_00193_00025-1,15
s_016um_00253_00395-1,8
s_016um_00047_00296-1,8
s_016um_00045_00166-1,8
s_016um_00143_00035-1,6
s_016um_00260_00114-1,13
s_016um_00300_00016-1,8
s_016um_00260_00097-1,4
s_016um_00234_00168-1,16
s_016um_00031_00304-1,8
s_016um_00113_00334-1,16
s_016um_00186_00143-1,8
s_016um_00140_00123-1,17
s_016um_00266_00160-1,10
s_016um_00035_00128-1,6
s_016um_00116_00089-1,17
s_016um_00201_00182-1,3
s_016um_00212_00276-1,9
s_016um_00093_00312-1,13
s_016um_00220_00204-1,14
s_016um_00055_00115-1,8
s_016um_00282_00071-1,13
s_016um_00080_00096-1,9
s_016um_00002_00025-1,8
s_016um_00071_00314-1,3
s_016um_00151_00144-1,16
s_016um_00113_00054-1,7
s_016um_00205_00028-1,6
s_016um_00306_00017-1,17
s_016um_00128_00029-1,3
s_016um_00222_00160-1,6
s_016um_00223_00155-1,6
s_016um_00173_00212-1,6
s_016um_00188_00039-1,6
s_016um_00126_00197-1,6
s_016um_00072_00272-1,5
s_016um_00307_00140-1,8
s_016um_00382_00251-1,13
s_016um_00049_00322-1,8
s_016um_00354_00361-1,20
s_016um_00115_00199-1,6
s_016um_00107_00384-1,11
s_016um_00039_00339-1,4
s_016um_00253_00240-1,10
s_016um_00216_00088-1,6
s_016um_00098_00360-1,13
s_016um_00142_00156-1,13
s_016um_00227_00062-1,18
s_016um_00314_00261-1,1
s_016um_00053_00033-1,6
s_016um_00078_00368-1,11
s_016um_00195_00091-1,9
s_016um_00098_00339-1,13
s_016um_00329_00346-1,17
s_016um_00190_00331-1,13
s_016um_00171_00005-1,10
s_016um_00226_00414-1,8
s_016um_00153_00088-1,10
s_016um_00140_00336-1,9
s_016um_00073_00194-1,6
s_016um_00035_00145-1,8
s_016um_00093_00208-1,8
s_016um_00120_00025-1,9
s_016um_00239_00316-1,16
s_016um_00054_00213-1,8
s_016um_00322_00357-1,11
