,domain_20
s_016um_00223_00271-1,7
s_016um_00157_00344-1,18
s_016um_00303_00400-1,18
s_016um_00123_00318-1,5
s_016um_00283_00345-1,18
s_016um_00205_00179-1,3
s_016um_00113_00049-1,7
s_016um_00077_00152-1,8
s_016um_00204_00119-1,9
s_016um_00145_00025-1,12
s_016um_00036_00324-1,4
s_016um_00294_00335-1,12
s_016um_00122_00074-1,14
s_016um_00143_00226-1,15
s_016um_00229_00229-1,16
s_016um_00287_00386-1,4
s_016um_00296_00064-1,18
s_016um_00110_00009-1,12
s_016um_00144_00103-1,18
s_016um_00105_00060-1,9
s_016um_00266_00317-1,1
s_016um_00187_00247-1,12
s_016um_00212_00269-1,9
s_016um_00212_00366-1,16
s_016um_00347_00389-1,8
s_016um_00015_00126-1,6
s_016um_00043_00319-1,8
s_016um_00291_00362-1,12
s_016um_00297_00268-1,4
s_016um_00191_00025-1,8
s_016um_00330_00344-1,17
s_016um_00121_00341-1,11
s_016um_00263_00021-1,10
s_016um_00257_00044-1,20
s_016um_00110_00129-1,10
s_016um_00337_00276-1,11
s_016um_00299_00258-1,11
s_016um_00303_00003-1,8
s_016um_00220_00154-1,6
s_016um_00003_00167-1,6
s_016um_00122_00089-1,18
s_016um_00309_00286-1,8
s_016um_00016_00002-1,8
s_016um_00203_00343-1,18
s_016um_00225_00092-1,3
s_016um_00312_00338-1,20
s_016um_00070_00014-1,9
s_016um_00118_00319-1,13
s_016um_00268_00100-1,16
s_016um_00169_00227-1,6
s_016um_00051_00325-1,6
s_016um_00093_00227-1,9
s_016um_00061_00131-1,8
s_016um_00306_00290-1,16
s_016um_00339_00386-1,13
s_016um_00116_00181-1,9
s_016um_00052_00215-1,8
s_016um_00012_00213-1,6
s_016um_00059_00335-1,7
s_016um_00102_00226-1,9
s_016um_00320_00262-1,12
s_016um_00379_00247-1,11
s_016um_00127_00259-1,14
s_016um_00124_00262-1,12
s_016um_00041_00281-1,8
s_016um_00319_00218-1,18
s_016um_00217_00099-1,6
s_016um_00304_00064-1,8
s_016um_00132_00228-1,6
s_016um_00240_00222-1,11
s_016um_00252_00218-1,8
s_016um_00119_00303-1,19
s_016um_00250_00113-1,3
s_016um_00332_00367-1,10
s_016um_00042_00246-1,19
s_016um_00156_00166-1,18
s_016um_00301_00296-1,1
s_016um_00059_00392-1,11
s_016um_00221_00174-1,3
s_016um_00317_00276-1,16
s_016um_00198_00099-1,7
s_016um_00290_00387-1,16
s_016um_00208_00282-1,19
s_016um_00079_00002-1,6
s_016um_00077_00067-1,6
s_016um_00298_00277-1,17
s_016um_00173_00316-1,1
s_016um_00055_00242-1,19
s_016um_00246_00066-1,11
s_016um_00167_00129-1,7
s_016um_00344_00309-1,11
s_016um_00183_00226-1,6
s_016um_00150_00391-1,17
s_016um_00123_00208-1,9
s_016um_00123_00293-1,19
s_016um_00198_00252-1,14
s_016um_00176_00407-1,15
s_016um_00051_00183-1,8
s_016um_00035_00196-1,8
s_016um_00250_00224-1,1
s_016um_00196_00239-1,17
s_016um_00138_00398-1,1
s_016um_00281_00009-1,17
s_016um_00327_00347-1,11
s_016um_00161_00054-1,8
s_016um_00132_00014-1,14
s_016um_00249_00194-1,9
s_016um_00041_00418-1,12
s_016um_00337_00279-1,16
s_016um_00033_00356-1,17
s_016um_00002_00203-1,8
s_016um_00249_00332-1,8
s_016um_00103_00293-1,5
s_016um_00247_00032-1,14
s_016um_00026_00060-1,8
s_016um_00278_00219-1,18
s_016um_00147_00390-1,11
s_016um_00038_00101-1,8
s_016um_00089_00122-1,3
s_016um_00337_00252-1,11
s_016um_00218_00185-1,16
s_016um_00368_00342-1,8
s_016um_00110_00178-1,9
s_016um_00208_00384-1,3
s_016um_00247_00372-1,8
s_016um_00166_00165-1,18
s_016um_00236_00300-1,1
s_016um_00227_00083-1,6
s_016um_00085_00079-1,6
s_016um_00303_00234-1,16
s_016um_00101_00337-1,18
s_016um_00223_00336-1,18
s_016um_00098_00225-1,15
s_016um_00050_00386-1,1
s_016um_00017_00302-1,14
s_016um_00319_00348-1,17
s_016um_00217_00279-1,11
s_016um_00048_00185-1,8
s_016um_00302_00197-1,16
s_016um_00267_00326-1,1
s_016um_00019_00358-1,4
s_016um_00013_00181-1,8
s_016um_00203_00313-1,10
s_016um_00111_00182-1,5
s_016um_00287_00185-1,16
s_016um_00115_00123-1,17
s_016um_00160_00217-1,8
s_016um_00177_00303-1,1
s_016um_00287_00320-1,12
s_016um_00037_00026-1,6
s_016um_00261_00174-1,8
s_016um_00308_00292-1,17
s_016um_00085_00277-1,8
s_016um_00158_00065-1,1
s_016um_00202_00125-1,7
s_016um_00169_00391-1,8
s_016um_00151_00046-1,7
s_016um_00270_00262-1,16
s_016um_00025_00226-1,8
s_016um_00217_00274-1,7
s_016um_00013_00193-1,6
s_016um_00160_00002-1,17
s_016um_00367_00247-1,3
s_016um_00126_00161-1,3
s_016um_00047_00153-1,8
s_016um_00052_00217-1,8
s_016um_00040_00331-1,16
s_016um_00024_00412-1,11
s_016um_00204_00338-1,17
s_016um_00041_00191-1,8
s_016um_00245_00149-1,4
s_016um_00133_00244-1,5
s_016um_00265_00218-1,8
s_016um_00149_00058-1,17
s_016um_00284_00384-1,16
s_016um_00238_00339-1,11
s_016um_00108_00253-1,12
s_016um_00071_00137-1,8
s_016um_00360_00276-1,8
s_016um_00203_00141-1,4
s_016um_00214_00298-1,8
s_016um_00053_00346-1,11
s_016um_00284_00140-1,17
s_016um_00104_00314-1,13
s_016um_00011_00285-1,5
s_016um_00008_00054-1,6
s_016um_00074_00237-1,6
s_016um_00135_00056-1,18
s_016um_00131_00338-1,11
s_016um_00174_00314-1,11
s_016um_00062_00328-1,16
s_016um_00319_00239-1,11
s_016um_00032_00061-1,6
s_016um_00060_00379-1,11
s_016um_00053_00193-1,6
s_016um_00047_00325-1,1
s_016um_00230_00384-1,11
s_016um_00254_00235-1,10
s_016um_00157_00184-1,3
s_016um_00101_00003-1,8
s_016um_00010_00003-1,8
s_016um_00034_00158-1,8
s_016um_00046_00049-1,8
s_016um_00210_00362-1,20
s_016um_00127_00136-1,10
s_016um_00182_00324-1,1
s_016um_00207_00134-1,14
s_016um_00006_00082-1,8
s_016um_00046_00270-1,18
s_016um_00237_00053-1,13
s_016um_00145_00085-1,13
s_016um_00247_00318-1,10
s_016um_00197_00071-1,6
s_016um_00253_00014-1,9
s_016um_00314_00285-1,8
s_016um_00151_00312-1,12
s_016um_00254_00352-1,12
s_016um_00296_00006-1,1
s_016um_00055_00354-1,16
s_016um_00094_00323-1,13
s_016um_00133_00056-1,3
s_016um_00065_00265-1,12
s_016um_00041_00403-1,11
s_016um_00298_00376-1,20
s_016um_00116_00183-1,9
s_016um_00112_00396-1,11
s_016um_00241_00222-1,1
s_016um_00144_00160-1,20
s_016um_00197_00399-1,16
s_016um_00224_00351-1,1
s_016um_00152_00090-1,17
s_016um_00040_00283-1,8
s_016um_00150_00083-1,18
s_016um_00034_00241-1,15
s_016um_00160_00396-1,11
s_016um_00062_00216-1,8
s_016um_00134_00221-1,6
s_016um_00337_00236-1,3
s_016um_00295_00043-1,17
s_016um_00033_00404-1,1
s_016um_00023_00048-1,8
s_016um_00307_00299-1,16
s_016um_00162_00238-1,19
s_016um_00127_00369-1,18
s_016um_00120_00181-1,3
s_016um_00272_00339-1,1
s_016um_00225_00178-1,12
s_016um_00229_00190-1,11
s_016um_00136_00012-1,13
s_016um_00305_00062-1,8
s_016um_00064_00300-1,5
s_016um_00334_00263-1,8
s_016um_00299_00253-1,12
s_016um_00300_00223-1,8
s_016um_00181_00013-1,14
s_016um_00038_00149-1,9
s_016um_00278_00214-1,8
s_016um_00292_00286-1,4
s_016um_00146_00099-1,18
s_016um_00287_00178-1,11
s_016um_00024_00036-1,8
s_016um_00161_00038-1,6
s_016um_00181_00091-1,9
s_016um_00028_00396-1,13
s_016um_00090_00284-1,19
s_016um_00075_00062-1,8
s_016um_00071_00042-1,6
s_016um_00035_00394-1,20
s_016um_00064_00294-1,8
s_016um_00031_00127-1,6
s_016um_00070_00001-1,15
s_016um_00275_00304-1,18
s_016um_00061_00374-1,1
s_016um_00132_00075-1,17
s_016um_00324_00353-1,11
s_016um_00286_00380-1,11
s_016um_00160_00375-1,1
s_016um_00049_00377-1,1
s_016um_00223_00260-1,8
s_016um_00311_00236-1,13
s_016um_00033_00208-1,6
s_016um_00362_00303-1,3
s_016um_00137_00179-1,9
s_016um_00321_00359-1,11
s_016um_00166_00333-1,1
s_016um_00216_00382-1,8
s_016um_00128_00109-1,10
s_016um_00195_00333-1,11
s_016um_00073_00165-1,8
s_016um_00285_00326-1,11
s_016um_00291_00324-1,5
s_016um_00247_00110-1,7
s_016um_00050_00003-1,6
s_016um_00304_00413-1,11
s_016um_00219_00366-1,4
s_016um_00331_00235-1,4
s_016um_00143_00025-1,3
s_016um_00061_00239-1,19
s_016um_00269_00120-1,7
s_016um_00252_00078-1,14
s_016um_00295_00346-1,12
s_016um_00291_00381-1,19
s_016um_00260_00121-1,13
s_016um_00024_00335-1,8
s_016um_00078_00165-1,9
s_016um_00322_00124-1,8
s_016um_00137_00355-1,11
s_016um_00182_00380-1,14
s_016um_00056_00310-1,19
s_016um_00117_00041-1,6
s_016um_00328_00352-1,11
s_016um_00063_00167-1,8
s_016um_00285_00354-1,8
s_016um_00316_00357-1,11
s_016um_00072_00364-1,11
s_016um_00045_00073-1,6
s_016um_00299_00179-1,8
s_016um_00195_00081-1,3
s_016um_00180_00149-1,6
s_016um_00236_00279-1,18
s_016um_00153_00155-1,17
s_016um_00255_00140-1,10
s_016um_00014_00100-1,6
s_016um_00070_00267-1,12
s_016um_00204_00189-1,7
s_016um_00342_00309-1,11
s_016um_00066_00271-1,5
s_016um_00286_00370-1,19
s_016um_00039_00398-1,4
s_016um_00038_00384-1,15
s_016um_00287_00295-1,12
s_016um_00216_00377-1,11
s_016um_00160_00175-1,3
s_016um_00130_00392-1,11
s_016um_00052_00368-1,1
s_016um_00123_00377-1,20
s_016um_00201_00237-1,9
s_016um_00315_00341-1,17
s_016um_00183_00103-1,9
s_016um_00291_00038-1,8
s_016um_00298_00384-1,13
s_016um_00282_00121-1,7
s_016um_00234_00077-1,18
s_016um_00318_00406-1,13
s_016um_00217_00155-1,7
s_016um_00069_00342-1,1
s_016um_00242_00207-1,20
s_016um_00104_00052-1,9
s_016um_00110_00311-1,8
s_016um_00020_00056-1,9
s_016um_00032_00367-1,17
s_016um_00049_00012-1,8
s_016um_00042_00404-1,12
s_016um_00166_00243-1,12
s_016um_00338_00389-1,3
s_016um_00177_00370-1,20
s_016um_00098_00199-1,6
s_016um_00321_00357-1,16
s_016um_00017_00167-1,6
s_016um_00033_00093-1,6
s_016um_00134_00337-1,10
s_016um_00187_00029-1,18
s_016um_00288_00312-1,6
s_016um_00269_00375-1,12
s_016um_00278_00315-1,1
s_016um_00240_00120-1,10
s_016um_00014_00392-1,4
s_016um_00047_00324-1,14
s_016um_00341_00275-1,1
s_016um_00091_00250-1,5
s_016um_00060_00170-1,8
s_016um_00180_00323-1,17
s_016um_00024_00209-1,8
s_016um_00059_00197-1,15
s_016um_00112_00144-1,16
s_016um_00218_00329-1,11
s_016um_00318_00127-1,8
s_016um_00250_00025-1,17
s_016um_00177_00056-1,9
s_016um_00071_00388-1,1
s_016um_00225_00306-1,17
s_016um_00079_00060-1,9
s_016um_00156_00156-1,10
s_016um_00271_00079-1,3
s_016um_00027_00265-1,12
s_016um_00280_00275-1,11
s_016um_00255_00149-1,16
s_016um_00136_00006-1,18
s_016um_00141_00023-1,20
s_016um_00037_00241-1,15
s_016um_00052_00361-1,4
s_016um_00080_00306-1,19
s_016um_00280_00331-1,11
s_016um_00236_00295-1,11
s_016um_00104_00169-1,6
s_016um_00190_00059-1,8
s_016um_00263_00341-1,18
s_016um_00105_00218-1,8
s_016um_00030_00379-1,11
s_016um_00214_00079-1,9
s_016um_00247_00207-1,12
s_016um_00176_00278-1,12
s_016um_00300_00075-1,11
s_016um_00079_00348-1,16
s_016um_00123_00231-1,12
s_016um_00173_00025-1,10
s_016um_00209_00077-1,6
s_016um_00134_00075-1,17
s_016um_00156_00123-1,18
s_016um_00048_00369-1,8
s_016um_00309_00110-1,1
s_016um_00301_00105-1,11
s_016um_00076_00254-1,12
s_016um_00195_00376-1,16
s_016um_00273_00007-1,11
s_016um_00334_00360-1,1
s_016um_00006_00312-1,8
s_016um_00257_00359-1,20
s_016um_00196_00162-1,3
s_016um_00067_00186-1,8
s_016um_00054_00245-1,12
s_016um_00042_00108-1,8
s_016um_00121_00096-1,17
s_016um_00162_00122-1,6
s_016um_00063_00342-1,8
s_016um_00060_00043-1,8
s_016um_00130_00204-1,3
s_016um_00146_00122-1,18
s_016um_00295_00204-1,5
s_016um_00178_00239-1,19
s_016um_00191_00062-1,9
s_016um_00329_00233-1,13
s_016um_00055_00312-1,19
s_016um_00095_00199-1,6
s_016um_00028_00149-1,6
s_016um_00275_00265-1,17
s_016um_00319_00260-1,4
s_016um_00284_00117-1,16
s_016um_00032_00029-1,9
s_016um_00238_00313-1,17
s_016um_00068_00311-1,19
s_016um_00326_00323-1,1
s_016um_00100_00126-1,8
s_016um_00029_00284-1,12
s_016um_00193_00351-1,1
s_016um_00245_00228-1,17
s_016um_00106_00364-1,1
s_016um_00046_00235-1,15
s_016um_00056_00082-1,8
s_016um_00252_00325-1,1
s_016um_00182_00207-1,6
s_016um_00142_00053-1,18
s_016um_00025_00032-1,6
s_016um_00068_00305-1,19
s_016um_00270_00025-1,18
s_016um_00247_00367-1,8
s_016um_00378_00262-1,8
s_016um_00323_00235-1,8
s_016um_00169_00380-1,12
s_016um_00106_00289-1,8
s_016um_00027_00266-1,12
s_016um_00364_00296-1,8
s_016um_00275_00034-1,17
s_016um_00134_00093-1,10
s_016um_00021_00062-1,6
s_016um_00127_00028-1,3
s_016um_00337_00397-1,6
s_016um_00025_00031-1,6
s_016um_00221_00019-1,18
s_016um_00166_00112-1,14
s_016um_00111_00153-1,7
s_016um_00183_00170-1,3
s_016um_00244_00099-1,18
s_016um_00080_00287-1,5
s_016um_00269_00106-1,1
s_016um_00059_00398-1,17
s_016um_00131_00033-1,8
s_016um_00285_00194-1,16
s_016um_00001_00029-1,6
s_016um_00363_00343-1,12
s_016um_00198_00346-1,11
s_016um_00307_00235-1,17
s_016um_00286_00123-1,13
s_016um_00341_00312-1,17
s_016um_00273_00184-1,8
s_016um_00139_00310-1,19
s_016um_00111_00211-1,18
s_016um_00293_00064-1,9
s_016um_00210_00219-1,9
s_016um_00073_00259-1,8
s_016um_00297_00275-1,16
s_016um_00332_00342-1,11
s_016um_00188_00268-1,5
s_016um_00264_00029-1,17
s_016um_00104_00206-1,6
s_016um_00074_00091-1,13
s_016um_00317_00353-1,1
s_016um_00244_00086-1,18
s_016um_00304_00209-1,17
s_016um_00062_00105-1,8
s_016um_00304_00348-1,9
s_016um_00133_00391-1,9
s_016um_00124_00385-1,11
s_016um_00008_00153-1,8
s_016um_00270_00216-1,8
s_016um_00126_00246-1,12
s_016um_00101_00081-1,17
s_016um_00234_00080-1,13
s_016um_00185_00382-1,7
s_016um_00039_00365-1,11
s_016um_00130_00000-1,14
s_016um_00286_00414-1,8
s_016um_00128_00356-1,20
s_016um_00157_00289-1,5
s_016um_00142_00126-1,20
s_016um_00105_00121-1,18
s_016um_00143_00155-1,18
s_016um_00254_00138-1,10
s_016um_00226_00144-1,17
s_016um_00079_00239-1,14
s_016um_00184_00216-1,6
s_016um_00141_00029-1,9
s_016um_00219_00174-1,9
s_016um_00305_00360-1,3
s_016um_00121_00091-1,10
s_016um_00252_00113-1,9
s_016um_00232_00337-1,17
s_016um_00139_00341-1,11
s_016um_00040_00218-1,8
s_016um_00291_00309-1,7
s_016um_00181_00267-1,9
s_016um_00294_00241-1,11
s_016um_00167_00112-1,7
s_016um_00306_00212-1,17
s_016um_00263_00214-1,8
s_016um_00289_00270-1,11
s_016um_00268_00164-1,8
s_016um_00108_00266-1,12
s_016um_00251_00222-1,17
s_016um_00184_00415-1,10
s_016um_00147_00150-1,11
s_016um_00241_00057-1,14
s_016um_00069_00064-1,8
s_016um_00245_00067-1,17
s_016um_00116_00326-1,14
s_016um_00150_00388-1,10
s_016um_00029_00292-1,5
s_016um_00033_00197-1,8
s_016um_00024_00244-1,6
s_016um_00175_00350-1,11
s_016um_00142_00363-1,11
s_016um_00092_00160-1,9
s_016um_00272_00345-1,18
s_016um_00089_00408-1,11
s_016um_00052_00172-1,8
s_016um_00041_00152-1,8
s_016um_00169_00241-1,14
s_016um_00067_00125-1,8
s_016um_00254_00387-1,8
s_016um_00304_00246-1,16
s_016um_00140_00396-1,1
s_016um_00302_00215-1,17
s_016um_00349_00318-1,11
s_016um_00010_00017-1,8
s_016um_00189_00285-1,12
s_016um_00316_00298-1,15
s_016um_00030_00352-1,18
s_016um_00227_00223-1,18
s_016um_00257_00213-1,8
s_016um_00005_00049-1,6
s_016um_00038_00042-1,6
s_016um_00166_00288-1,12
s_016um_00046_00066-1,8
s_016um_00000_00072-1,8
s_016um_00131_00216-1,9
s_016um_00155_00059-1,17
s_016um_00186_00085-1,9
s_016um_00023_00062-1,6
s_016um_00062_00320-1,10
s_016um_00193_00217-1,9
s_016um_00226_00151-1,12
s_016um_00014_00225-1,8
s_016um_00148_00190-1,3
s_016um_00087_00163-1,9
s_016um_00159_00268-1,9
s_016um_00204_00245-1,12
s_016um_00266_00082-1,1
s_016um_00128_00259-1,12
s_016um_00278_00394-1,4
s_016um_00154_00042-1,6
s_016um_00183_00263-1,18
s_016um_00293_00071-1,11
s_016um_00200_00152-1,9
s_016um_00188_00031-1,17
s_016um_00116_00408-1,1
s_016um_00087_00008-1,12
s_016um_00030_00034-1,9
s_016um_00016_00152-1,6
s_016um_00040_00135-1,18
s_016um_00222_00264-1,6
s_016um_00306_00016-1,17
s_016um_00296_00048-1,18
s_016um_00136_00251-1,8
s_016um_00151_00266-1,5
s_016um_00138_00000-1,10
s_016um_00338_00230-1,11
s_016um_00230_00245-1,15
s_016um_00306_00227-1,11
s_016um_00294_00048-1,8
s_016um_00258_00373-1,16
s_016um_00288_00351-1,8
s_016um_00277_00229-1,18
s_016um_00266_00272-1,12
s_016um_00186_00001-1,10
s_016um_00210_00032-1,8
s_016um_00043_00280-1,8
s_016um_00111_00024-1,9
s_016um_00214_00320-1,17
s_016um_00205_00286-1,4
s_016um_00282_00226-1,16
s_016um_00239_00315-1,17
s_016um_00210_00340-1,4
s_016um_00335_00362-1,1
s_016um_00053_00388-1,1
s_016um_00186_00195-1,20
s_016um_00128_00172-1,8
s_016um_00292_00164-1,16
s_016um_00301_00155-1,8
s_016um_00163_00346-1,1
s_016um_00232_00318-1,17
s_016um_00060_00216-1,8
s_016um_00193_00321-1,18
s_016um_00244_00132-1,17
s_016um_00290_00329-1,20
s_016um_00224_00018-1,20
s_016um_00303_00307-1,6
s_016um_00053_00176-1,8
s_016um_00288_00335-1,12
s_016um_00044_00290-1,5
s_016um_00146_00279-1,5
s_016um_00152_00183-1,9
s_016um_00148_00102-1,17
s_016um_00076_00259-1,12
s_016um_00031_00409-1,20
s_016um_00211_00218-1,7
s_016um_00044_00193-1,8
s_016um_00265_00191-1,8
s_016um_00047_00299-1,8
s_016um_00213_00389-1,4
s_016um_00174_00232-1,15
s_016um_00265_00138-1,8
s_016um_00286_00241-1,17
s_016um_00193_00286-1,17
s_016um_00027_00279-1,8
s_016um_00205_00283-1,20
s_016um_00082_00378-1,4
s_016um_00186_00190-1,3
s_016um_00045_00204-1,3
s_016um_00111_00328-1,10
s_016um_00357_00247-1,3
s_016um_00025_00209-1,8
s_016um_00071_00186-1,8
s_016um_00273_00052-1,11
s_016um_00069_00256-1,12
s_016um_00307_00004-1,8
s_016um_00132_00044-1,10
s_016um_00016_00200-1,8
s_016um_00231_00159-1,10
s_016um_00274_00184-1,8
s_016um_00089_00050-1,8
s_016um_00029_00250-1,12
s_016um_00215_00019-1,5
s_016um_00072_00014-1,3
s_016um_00125_00382-1,1
s_016um_00182_00142-1,9
s_016um_00163_00156-1,10
s_016um_00146_00042-1,6
s_016um_00210_00261-1,5
s_016um_00263_00340-1,1
s_016um_00208_00318-1,14
s_016um_00115_00048-1,6
s_016um_00194_00148-1,9
s_016um_00017_00147-1,8
s_016um_00003_00377-1,8
s_016um_00053_00121-1,9
s_016um_00240_00395-1,8
s_016um_00111_00130-1,10
s_016um_00102_00041-1,8
s_016um_00037_00063-1,6
s_016um_00255_00298-1,11
s_016um_00189_00006-1,8
s_016um_00176_00284-1,9
s_016um_00109_00074-1,4
s_016um_00095_00223-1,6
s_016um_00267_00396-1,8
s_016um_00025_00252-1,12
s_016um_00139_00053-1,5
s_016um_00187_00114-1,9
s_016um_00182_00200-1,9
s_016um_00295_00273-1,1
s_016um_00177_00203-1,9
s_016um_00123_00397-1,4
s_016um_00246_00155-1,8
s_016um_00059_00268-1,5
s_016um_00070_00251-1,12
s_016um_00098_00363-1,1
s_016um_00079_00041-1,6
s_016um_00154_00017-1,18
s_016um_00226_00228-1,9
s_016um_00189_00118-1,9
s_016um_00193_00250-1,12
s_016um_00066_00319-1,3
s_016um_00092_00236-1,19
s_016um_00143_00130-1,18
s_016um_00130_00024-1,9
s_016um_00115_00396-1,1
s_016um_00291_00276-1,11
s_016um_00072_00047-1,8
s_016um_00092_00080-1,10
s_016um_00213_00035-1,8
s_016um_00164_00204-1,6
s_016um_00259_00187-1,8
s_016um_00022_00096-1,6
s_016um_00212_00139-1,9
s_016um_00279_00007-1,10
s_016um_00330_00392-1,4
s_016um_00249_00234-1,17
s_016um_00128_00333-1,17
s_016um_00141_00169-1,11
s_016um_00224_00106-1,12
s_016um_00226_00296-1,11
s_016um_00102_00356-1,11
s_016um_00008_00410-1,11
s_016um_00076_00001-1,7
s_016um_00200_00337-1,1
s_016um_00193_00402-1,8
s_016um_00256_00095-1,14
s_016um_00366_00229-1,9
s_016um_00073_00403-1,1
s_016um_00239_00133-1,16
s_016um_00053_00013-1,8
s_016um_00212_00011-1,18
s_016um_00182_00166-1,7
s_016um_00229_00079-1,20
s_016um_00243_00238-1,1
s_016um_00136_00134-1,6
s_016um_00306_00120-1,1
s_016um_00292_00360-1,12
s_016um_00161_00167-1,18
s_016um_00345_00233-1,4
s_016um_00121_00125-1,10
s_016um_00030_00081-1,6
s_016um_00246_00035-1,8
s_016um_00264_00246-1,13
s_016um_00127_00270-1,18
s_016um_00128_00151-1,17
s_016um_00303_00124-1,11
s_016um_00262_00196-1,17
s_016um_00231_00342-1,1
s_016um_00207_00283-1,5
s_016um_00280_00241-1,16
s_016um_00122_00393-1,4
s_016um_00123_00192-1,9
s_016um_00334_00324-1,11
s_016um_00113_00037-1,6
s_016um_00245_00127-1,17
s_016um_00201_00358-1,16
s_016um_00195_00233-1,9
s_016um_00315_00355-1,11
s_016um_00065_00173-1,8
s_016um_00252_00019-1,10
s_016um_00072_00238-1,3
s_016um_00101_00173-1,6
s_016um_00077_00364-1,8
s_016um_00235_00302-1,17
s_016um_00216_00055-1,10
s_016um_00018_00040-1,9
s_016um_00037_00285-1,5
s_016um_00320_00249-1,8
s_016um_00267_00270-1,13
s_016um_00092_00286-1,20
s_016um_00340_00245-1,14
s_016um_00208_00070-1,9
s_016um_00143_00217-1,6
s_016um_00228_00170-1,16
s_016um_00240_00386-1,4
s_016um_00134_00273-1,12
s_016um_00254_00302-1,18
s_016um_00058_00376-1,1
s_016um_00149_00092-1,10
s_016um_00279_00177-1,1
s_016um_00130_00081-1,17
s_016um_00279_00126-1,18
s_016um_00018_00251-1,5
s_016um_00162_00195-1,6
s_016um_00288_00168-1,16
s_016um_00159_00171-1,15
s_016um_00345_00257-1,13
s_016um_00034_00006-1,6
s_016um_00158_00171-1,18
s_016um_00199_00275-1,7
s_016um_00191_00151-1,6
s_016um_00188_00387-1,18
s_016um_00015_00031-1,6
s_016um_00047_00411-1,1
s_016um_00283_00001-1,17
s_016um_00295_00381-1,17
s_016um_00097_00261-1,8
s_016um_00190_00033-1,12
s_016um_00060_00190-1,8
s_016um_00342_00321-1,11
s_016um_00029_00045-1,8
s_016um_00221_00278-1,5
s_016um_00199_00250-1,3
s_016um_00078_00279-1,5
s_016um_00058_00297-1,6
s_016um_00010_00304-1,5
s_016um_00186_00316-1,11
s_016um_00231_00261-1,8
s_016um_00048_00182-1,8
s_016um_00276_00102-1,8
s_016um_00229_00362-1,16
s_016um_00237_00065-1,13
s_016um_00117_00371-1,1
s_016um_00105_00364-1,11
s_016um_00134_00379-1,16
s_016um_00219_00381-1,12
s_016um_00300_00202-1,8
s_016um_00056_00242-1,19
s_016um_00185_00279-1,15
s_016um_00228_00392-1,11
s_016um_00273_00021-1,17
s_016um_00182_00196-1,12
s_016um_00256_00302-1,11
s_016um_00002_00228-1,8
s_016um_00057_00161-1,8
s_016um_00284_00248-1,18
s_016um_00069_00294-1,8
s_016um_00103_00122-1,6
s_016um_00157_00248-1,12
s_016um_00040_00393-1,16
s_016um_00091_00339-1,11
s_016um_00288_00214-1,17
s_016um_00280_00053-1,5
s_016um_00235_00194-1,10
s_016um_00266_00154-1,18
s_016um_00172_00267-1,10
s_016um_00050_00174-1,8
s_016um_00350_00384-1,8
s_016um_00051_00164-1,8
s_016um_00175_00048-1,6
s_016um_00102_00250-1,5
s_016um_00127_00342-1,1
s_016um_00078_00139-1,6
s_016um_00060_00096-1,6
s_016um_00072_00215-1,8
s_016um_00129_00172-1,6
s_016um_00275_00115-1,11
s_016um_00264_00142-1,18
s_016um_00292_00210-1,1
s_016um_00243_00214-1,10
s_016um_00184_00241-1,12
s_016um_00115_00361-1,16
s_016um_00252_00087-1,17
s_016um_00177_00377-1,6
s_016um_00126_00062-1,7
s_016um_00321_00349-1,11
s_016um_00170_00252-1,12
s_016um_00181_00233-1,5
s_016um_00050_00215-1,6
s_016um_00132_00093-1,10
s_016um_00066_00200-1,8
s_016um_00038_00207-1,8
s_016um_00000_00219-1,8
s_016um_00219_00110-1,9
s_016um_00244_00032-1,12
s_016um_00065_00383-1,11
s_016um_00201_00188-1,7
s_016um_00054_00173-1,8
s_016um_00174_00165-1,9
s_016um_00272_00126-1,17
s_016um_00239_00238-1,17
s_016um_00300_00183-1,8
s_016um_00189_00352-1,1
s_016um_00129_00016-1,10
s_016um_00246_00254-1,3
s_016um_00258_00153-1,20
s_016um_00047_00314-1,8
s_016um_00273_00059-1,11
s_016um_00239_00164-1,12
s_016um_00215_00352-1,11
s_016um_00095_00134-1,9
s_016um_00058_00208-1,8
s_016um_00170_00104-1,7
s_016um_00262_00250-1,17
s_016um_00292_00015-1,11
s_016um_00221_00084-1,9
s_016um_00230_00011-1,12
s_016um_00042_00216-1,6
s_016um_00134_00155-1,14
s_016um_00007_00393-1,11
s_016um_00024_00153-1,6
s_016um_00150_00162-1,20
s_016um_00024_00233-1,6
s_016um_00131_00229-1,5
s_016um_00199_00028-1,18
s_016um_00072_00160-1,6
s_016um_00108_00311-1,8
s_016um_00222_00303-1,17
s_016um_00302_00007-1,10
s_016um_00111_00034-1,9
s_016um_00090_00154-1,9
s_016um_00305_00214-1,11
s_016um_00280_00056-1,8
s_016um_00216_00251-1,20
s_016um_00295_00032-1,4
s_016um_00036_00348-1,12
s_016um_00382_00258-1,8
s_016um_00337_00215-1,13
s_016um_00236_00001-1,10
s_016um_00200_00072-1,3
s_016um_00063_00131-1,8
s_016um_00057_00344-1,16
s_016um_00172_00228-1,8
s_016um_00063_00119-1,8
s_016um_00178_00082-1,9
s_016um_00259_00369-1,13
s_016um_00130_00175-1,6
s_016um_00033_00367-1,13
s_016um_00162_00319-1,7
s_016um_00165_00163-1,18
s_016um_00258_00121-1,7
